Region,Channel,Channel Market,Genre,Channel Language,Brand,Viewing Minutes,Impact,Cost,Spots,Durations,OTS,Sync_Reach,Impressions,GRP
AP,abn andhra jyothi,AP,Telugu News,telugu,godrej expert rich creme hair colour,905388.95,45.1187,46440,180,3600,3.04,8.19,2689.68,28.41
AP,etv andhra pradesh,AP,Telugu News,telugu,godrej expert rich creme hair colour,269067.62,0.9662,7752,19,380,1.54,1.91,66.23,0.7
AP,etv telugu,AP,Telugu GEC,telugu,godrej expert rich creme hair colour,7554666.65,80.4831,312700,59,1180,2.87,21.855,6809.06,71.93
AP,gemini comedy,AP,Telugu Comedy,telugu,godrej expert rich creme hair colour,1287106.24,28.5076,42586,107,2140,1.97,6.28,1516.37,16.02
AP,gemini life,AP,Telugu Movies,telugu,godrej expert rich creme hair colour,1819975.81,12.6144,18980,73,1460,1.77,5.735,1239.34,13.09
AP,gemini movies,AP,Telugu Movies,telugu,godrej expert rich creme hair colour,5567801.11,79.1927,91140,70,1400,2.39,16.55,4587.76,48.47
AP,gemini movies hd,AP,Telugu Movies HD,telugu,godrej expert rich creme hair colour,553828.38,29.3807,26568,246,4920,3.63,4.75,1479.14,15.63
AP,gemini music,AP,Telugu Music,telugu,godrej expert rich creme hair colour,1033255.8,121.7975,236736,432,8640,3.23,19.605,6660.86,70.37
AP,gemini tv,AP,Telugu GEC,telugu,godrej expert rich creme hair colour,6010088.35,115.2993,607824,168,3360,3.27,28.51,10350.29,109.34
AP,gemini tv hd,AP,Telugu GEC HD,telugu,godrej expert rich creme hair colour,581770.19,16.8165,57280,179,3580,4.07,3.65,1315.76,13.9
AP,ntv telugu,AP,Telugu News,telugu,godrej expert rich creme hair colour,1346596.41,3.8609,4860,6,120,1.14,2.155,205.36,2.17
AP,star maa,AP,Telugu GEC,telugu,godrej expert rich creme hair colour,24387048.38,126.0151,685768,46,920,3.28,32.06,11597.47,122.52
AP,star maa gold,AP,Telugu Movies,telugu,godrej expert rich creme hair colour,3050841.33,40.6738,55440,168,3360,2.26,14.145,3919.31,41.4
AP,star maa hd,AP,Telugu GEC HD,telugu,godrej expert rich creme hair colour,2339717.8,18.6452,75720,60,1200,6.84,3.705,2145.14,22.66
AP,star maa movies,AP,Telugu Movies,telugu,godrej expert rich creme hair colour,7089393.73,224.3365,246420,185,3700,4.01,30.1,13282.41,140.32
AP,star maa music,AP,Telugu Music,telugu,godrej expert rich creme hair colour,3205686.57,95.0176,44528,121,2420,2.89,14.61,4988.87,52.7
AP,t news,AP,Telugu News,telugu,godrej expert rich creme hair colour,84264.65,7.8077,120350,415,8300,1.76,2.29,481.21,5.08
AP,vanitha tv,AP,Telugu GEC,telugu,godrej expert rich creme hair colour,218150.22,11.276,80910,261,5220,1.67,4.155,665.7,7.03
AP,zee cinemalu,AP,Telugu Movies,telugu,godrej expert rich creme hair colour,5513361.47,127.0567,141550,95,1900,2.93,23.465,7461.35,78.82
AP,zee cinemalu hd,AP,Telugu Movies HD,telugu,godrej expert rich creme hair colour,747580.73,40.8423,127370,271,5420,4.36,5.4,2564.32,27.09
AP,zee telugu,AP,Telugu GEC,telugu,godrej expert rich creme hair colour,21227502.83,254.7741,892248,94,1880,6.51,36.325,24735.21,261.31
AP,zee telugu hd,AP,Telugu GEC HD,telugu,godrej expert rich creme hair colour,2089823.39,24.9926,135222,93,1860,6.3,5.17,2735.19,28.89
HSM,&pictures,HSM,Hindi Movies,hindi,garnier black naturals,11290168.24,164.750165,2869775,670,15025,1.702,7.23,15209.19,77.59
HSM,&pictures,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,11290168.24,136.973,1373130,365,7300,1.9,4.119,7816.23,38.35
HSM,&pictures hd,HSM,Hindi Movies HD,hindi,garnier black naturals,866845.66,0.091649919,0,30,600,0.4,1.481,13.39,0.05
HSM,&tv,HSM,Hindi GEC 2,hindi,garnier black naturals,5007783.34,114.9065778,2385687.5,1110,16625,3.712,4.866,17442.86,97.07
HSM,&tv,HSM,Hindi GEC 2,hindi,godrej expert rich creme hair colour,5007783.34,36.9202,2224430,355,7100,1.668,2.619,3952.6,20.11
HSM,&tv hd,HSM,Hindi GEC 2 HD,hindi,garnier black naturals,328547.77,67.41163007,0,505,2900,3.024,1.341,726.08,4.13
HSM,9x jalwa,HSM,Hindi Music,hindi,godrej expert rich creme hair colour,667236.39,6.8972,439920,470,9400,0.86,1.168,486.28,1.69
HSM,9xm,HSM,Hindi Music FTA,hindi,godrej expert rich creme hair colour,3282994.41,209.3342,2317680,1160,23200,2.65,4.798,12481.95,62.18
HSM,all time movies,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,6007033.61,19.8055,16240,70,1400,1.332,1.421,1163.35,5.42
HSM,anmol cinema,HSM,Hindi GEC FTA,multi,garnier black naturals,11304679.97,42.81468286,880005,320,7225,1.478,4.053,6893.87,38.75
HSM,anmol cinema,HSM,Hindi GEC FTA,multi,godrej expert rich creme hair colour,11304679.97,301.0334,2430360,1570,31400,2.758,10.733,32515.07,179.15
HSM,anmol cinema 2,HSM,Hindi Movies,multi,garnier black naturals,3985618.77,49.00452754,654720,850,19200,1.736,4.102,7279.99,36.93
HSM,anmol tv,HSM,Hindi GEC FTA,multi,garnier black naturals,7028400.29,16.08889686,384105,100,2175,2.228,2.016,2296.33,13.84
HSM,anmol tv,HSM,Hindi GEC FTA,multi,godrej expert rich creme hair colour,7028400.29,291.1017,10533600,1320,26400,8.6,4.014,29685.26,176.73
HSM,b4u kadak,HSM,Hindi Movies FTA,hindi,garnier black naturals,6026096.39,178.8036544,1733062.5,1080,24375,2.094,6.538,16052.72,84.88
HSM,b4u kadak,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,6026096.39,216.3573,382030,755,15100,2.204,5.445,12095.13,67.58
HSM,b4u movies,HSM,Hindi Movies FTA,hindi,garnier black naturals,6710565.98,249.3401686,1778560,995,22400,2.302,7.314,19682.43,102.35
HSM,b4u movies,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,6710565.98,50.9072,102270,105,2100,1.6,1.996,2836.07,13.95
